lr,data_time,loss,loss_cls,loss_bbox,time,epoch,iter,memory,step
4e-08,12.64242959022522,0.07494259625673294,0.07062700390815735,0.004315593279898167,24.57713794708252,1.0,1.0,2526.0,1.0
4.043963963963964e-06,6.3258326053619385,0.07716532796621323,0.07061442360281944,0.006550903432071209,12.57679831981659,1.0,2.0,2584.0,2.0
8.047927927927926e-06,4.2213412920633955,0.07772451390822728,0.0705211932460467,0.007203319109976292,8.609059810638428,1.0,3.0,2584.0,3.0
1.205189189189189e-05,3.169772446155548,0.07684807665646076,0.07037370093166828,0.006474375375546515,6.657700479030609,1.0,4.0,2584.0,4.0
1.6055855855855853e-05,5.024443435668945,0.07981606274843216,0.07022667229175568,0.00958939054980874,8.017853832244873,1.0,5.0,2584.0,5.0
2.0059819819819814e-05,4.497705101966858,0.08220833664139111,0.07007509469985962,0.012133242329582572,7.127782980600993,1.0,6.0,2584.0,6.0
2.4063783783783776e-05,3.8569164276123047,0.08394160228116172,0.06994330137968063,0.013998301234096289,6.226625170026507,1.0,7.0,2584.0,7.0
2.806774774774774e-05,3.5426833629608154,0.08281798847019672,0.0698067331686616,0.013011255825404078,5.669151812791824,1.0,8.0,2584.0,8.0
3.2071711711711706e-05,5.427227973937988,0.08283525374200609,0.06969410843319362,0.013141145774473747,7.387183136410183,1.0,9.0,2584.0,9.0
3.607567567567567e-05,5.3918699502944945,0.08613181412220001,0.06959526315331459,0.01653655138798058,7.2217841148376465,1.0,10.0,2584.0,10.0
4.0079639639639635e-05,4.90327711538835,0.08918764916333285,0.0695235776630315,0.01966407188129696,6.658100149848244,1.0,11.0,2584.0,11.0
4.40836036036036e-05,4.833143015702565,0.0908022013803323,0.06944185743729274,0.021360343981844682,6.53274933497111,1.0,12.0,2584.0,12.0
4.808756756756756e-05,5.243956877635076,0.0936359316110611,0.06935119571594092,0.024284735930940278,6.8678313952225905,1.0,13.0,2584.0,13.0
5.209153153153152e-05,5.80798305783953,0.0946490184537002,0.06927331164479256,0.025375706842169166,7.373806885310581,1.0,14.0,2584.0,14.0
5.609549549549549e-05,5.421879720687866,0.09695426175991693,0.06916769643624623,0.027786564858009417,6.943985652923584,1.0,15.0,2584.0,15.0
6.0099459459459453e-05,5.0836600959300995,0.0970417307689786,0.06904517998918891,0.02799655045964755,6.579532980918884,1.0,16.0,2584.0,16.0
6.41034234234234e-05,5.036248585757087,0.09931852186427396,0.06892336948829539,0.030395152074668336,6.47414688503041,1.0,17.0,2584.0,17.0
6.810738738738738e-05,5.0504284964667425,0.1010538720422321,0.0687963834239377,0.032257487919802465,6.428227729267544,1.0,18.0,2584.0,18.0
7.211135135135135e-05,4.784795660721628,0.10178451122421968,0.06866095881713064,0.03312355174535984,6.1083984876933854,1.0,19.0,2584.0,19.0
7.61153153153153e-05,4.5457072973251345,0.1049419242888689,0.06852211765944957,0.036419806000776586,5.822079575061798,1.0,20.0,2584.0,20.0
8.011927927927928e-05,4.374489193870907,0.1052533480383101,0.06838134605260122,0.0368720013870015,5.604032664071946,1.0,21.0,2584.0,21.0
8.412324324324324e-05,5.4410070397637105,0.1071886034174399,0.0682388875972141,0.038949715587395156,6.651504895903847,2.0,22.0,2584.0,22.0
8.81272072072072e-05,5.205117515895678,0.11361095762771109,0.06809490983900816,0.04551604756599535,6.401771856390911,2.0,23.0,2584.0,23.0
9.213117117117117e-05,4.988919218381246,0.11512607398132484,0.06794639863073826,0.04717967482671762,6.180650303761165,2.0,24.0,2584.0,24.0
9.613513513513512e-05,4.78985969543457,0.12286104619503022,0.06779426574707031,0.05506677994504571,5.972706565856933,2.0,25.0,2584.0,25.0
0.00010013909909909908,5.301172274809617,0.13564090029551432,0.06764796662789124,0.06799293261093016,6.467091257755573,2.0,26.0,2584.0,26.0
0.00010414306306306305,5.105150673124525,0.15771216540424912,0.06863872430942676,0.08907343952537135,6.268918108057092,2.0,27.0,2584.0,27.0
0.00010814702702702703,4.923510679176876,0.1955688058265618,0.07287884397166115,0.12268996034150145,6.082934890474592,2.0,28.0,2584.0,28.0
0.00011215099099099098,4.754417756508136,0.24044928622656855,0.08317370250307281,0.15727558020695015,5.904002403390819,2.0,29.0,2584.0,29.0
0.00011615495495495494,5.185756643613179,0.2642704303065936,0.08473535080750784,0.1795350751063476,6.325242304801941,2.0,30.0,2584.0,30.0
0.0001201589189189189,5.018800673946258,0.3275888172849532,0.11957297498180021,0.2080158380521161,6.144838617693994,2.0,31.0,2584.0,31.0
0.00012416288288288286,4.862614430487156,0.37719920789822936,0.13117422815412283,0.24602497376326937,5.991088822484016,2.0,32.0,2584.0,32.0
0.00012816684684684683,4.715621428056196,0.41149805666822376,0.13177268794088653,0.27972536383083824,5.849885940551758,2.0,33.0,2584.0,33.0
0.0001321708108108108,5.077704296392553,0.4543929113184704,0.15103415706578424,0.3033587477471241,6.2134615884107705,2.0,34.0,2584.0,34.0
0.00013617477477477477,4.933815206800189,0.49092073568275996,0.15733584421021599,0.3335848843013602,6.077122817720686,2.0,35.0,2584.0,35.0
0.00014017873873873875,4.797025581200917,0.5292127906448312,0.16679584152168697,0.3624169429790022,5.942441980044047,2.0,36.0,2584.0,36.0
0.00014418270270270272,4.668277424734992,0.543286476183582,0.16693032754434123,0.37635614105022036,5.809068802240732,2.0,37.0,2584.0,37.0
0.0001481866666666667,4.935947098230061,0.5746370408880083,0.16993086667437302,0.40470616760859757,6.063977486208866,2.0,38.0,2584.0,38.0
0.00015219063063063066,4.809562573066125,0.6044889027491595,0.17896060072458708,0.42552829711721873,5.919379448279356,2.0,39.0,2584.0,39.0
0.00015619459459459463,4.68940572142601,0.6350678484886885,0.19235700592398644,0.4427108377800323,5.785566526651382,2.0,40.0,2584.0,40.0
0.0001601985585585586,4.5752723972971845,0.6661519462742457,0.19239665785940682,0.4737552841103113,5.656123033383998,2.0,41.0,2584.0,41.0
0.00016420252252252255,4.545383646374657,0.6907382419421559,0.19274499444734483,0.4979932422284037,5.609558792341323,2.0,42.0,2584.0,42.0
0.0001682064864864865,4.838471096615459,0.7041210528723029,0.19332038663154424,0.5108006610968259,5.895245995632438,3.0,43.0,2584.0,43.0
0.00017221045045045047,4.77056794274937,0.7268773760985244,0.1997187462720004,0.5271586234448478,5.822237518700686,3.0,44.0,2584.0,44.0
0.0001762144144144144,4.738480408986409,0.759360420372751,0.21702583498424954,0.5423345778240926,5.779679833518134,3.0,45.0,2584.0,45.0
0.00018021837837837838,4.635649634444195,0.7795914110282193,0.22452148924703183,0.5550699156769754,5.667078158129817,3.0,46.0,2584.0,46.0
0.00018422234234234235,4.805294939812193,0.7948602980121653,0.2290541111154759,0.5658061809223541,5.839057470889801,3.0,47.0,2584.0,47.0
0.0001882263063063063,4.757955168684323,0.8096962530786792,0.23567077641685805,0.5740254695701879,5.791665658354759,3.0,48.0,2584.0,48.0
0.00019223027027027027,4.880403324049347,0.822598504472752,0.24070176907948085,0.581896728446365,5.911839636004701,3.0,49.0,2584.0,49.0
0.00019623423423423421,4.78305911064148,0.8444514068961143,0.25501194715499875,0.5894394541252405,5.810381336212158,3.0,50.0,2584.0,50.0
0.00020023819819819816,4.638140268325806,0.8735817106068134,0.26456500589847565,0.6090166990738362,5.44558352470398,3.0,51.0,2584.0,51.0
0.0002042421621621621,4.638098778724671,0.8988320541381836,0.2676184202730656,0.6312136282864959,5.455340223312378,3.0,52.0,2584.0,52.0
0.00020824612612612608,4.816493077278137,0.9271079228818416,0.27898342624306677,0.648124491116032,5.631441230773926,3.0,53.0,2584.0,53.0
0.00021225009009009002,4.816410117149353,0.9553205175697803,0.2883879850804806,0.6669325257092714,5.628219423294067,3.0,54.0,2584.0,54.0
0.000216254054054054,4.645240006446838,0.9828837086260319,0.28989476531744,0.6929889364913105,5.454288721084595,3.0,55.0,2584.0,55.0
0.00022025801801801796,4.60833372592926,1.003629105836153,0.29452568709850313,0.7091034124791622,5.4232250642776485,3.0,56.0,2584.0,56.0
0.00022426198198198193,4.939097747802735,1.0300917530059814,0.30510430261492727,0.7249874429404736,5.750558891296387,3.0,57.0,2584.0,57.0
0.00022826594594594588,4.912420873641968,1.057440875172615,0.31370532140135765,0.7437355468794703,5.724718523025513,3.0,58.0,2584.0,58.0
0.00023226990990990985,4.5629940557479856,1.082426214516163,0.3202605432271957,0.7621656638011336,5.375273675918579,3.0,59.0,2584.0,59.0
0.0002362738738738738,4.461716337203979,1.1036595085263252,0.32497681364417075,0.778682687394321,5.272490491867066,3.0,60.0,2584.0,60.0
0.00024027783783783777,4.531954703330993,1.1215367385745048,0.33077589944005015,0.7907608316466213,5.333250589370728,3.0,61.0,2584.0,61.0
0.0002442818018018017,4.450989756584168,1.145019632577896,0.34083662629127504,0.8041829988732934,5.240134110450745,3.0,62.0,2584.0,62.0
0.0002482857657657657,4.291052813529968,1.1647938913106919,0.34428536728024484,0.8205085166171193,5.074945373535156,3.0,63.0,2584.0,63.0
0.0002522897297297296,4.322744278907776,1.2008536414802073,0.36403720393776895,0.8368164289370179,5.107214298248291,4.0,64.0,2584.0,64.0
